neuron_local_idx,neuron_global_idx,membership_count,coarse_overlap,detail_overlap,rr_label_single,preferred_class,selectivity_index,decoder_importance,ablation_effect_proxy,ablation_drop_actual,is_important_neuron,resp_Divergent,resp_Convergent,resp_Random
58,58,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.19518579211184237,0.003938669529109083,0.003938669529109083,,0,0.07724951949462087,0.09367194672228482,0.04890411134671282
59,59,1,Condition_Biased,Biased_Random,Random,Random,0.08677872724042117,0.0036118782793202135,0.0036118782793202135,,0,0.028129726577187993,0.03195424264582692,0.03575145561524012
60,60,1,Condition_Biased,Biased_Random,Random,Random,0.03713250923080207,0.004951698328929237,0.004951698328929237,-0.007407407407407307,1,0.027924558246956655,0.032195413992715576,0.03237848315663912
61,61,1,Condition_Biased,Biased_Convergent,Convergent,Random,0.08044805300542957,0.0032189509735009816,0.0032189509735009816,,0,0.018217620698528156,0.018581307570760448,0.021618860430532582
62,62,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.07903262058491911,0.004092314901096469,0.004092314901096469,,0,0.06454898665348689,0.07515042541775281,0.06373460559105432
63,63,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.171566436630602,0.004472402660730992,0.004472402660730992,,0,0.05340755533608091,0.08532254465624059,0.06725834545299962
64,64,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.15077645137635395,0.004111296780880597,0.004111296780880597,,0,0.07382246658326713,0.06514251270582752,0.043813100636557294
65,65,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.2804804288592976,0.004087052921163651,0.004087052921163651,,0,0.05472645193286654,0.07815160532358778,0.03310247270942286
66,66,1,Condition_Biased,Biased_Random,Random,Random,0.04388189458286353,0.004357873639753873,0.004357873639753873,,0,0.06151039889556597,0.05495776814561357,0.06357949409219954
67,67,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.07719661306637522,0.003976262357009882,0.003976262357009882,,0,0.047481398132664186,0.06537353455350198,0.06452585916828227
68,68,1,Condition_Biased,Biased_Random,Random,Divergent,0.19398673600218277,0.00443515464096771,0.00443515464096771,,0,0.06688423412507055,0.043956247320960436,0.0463455596110887
69,69,2,Shared_Core,Shared_Core,Shared_Core,Divergent,0.3622149021388144,0.004316169174729572,0.004316169174729572,,0,0.06847161645850132,0.03463168027342627,0.029484747369187297
70,70,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.15109503185699064,0.004001762289811995,0.004001762289811995,,0,0.05012346455758369,0.07923843828892266,0.06674942963377194
71,71,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.24209315705114579,0.004164027081073839,0.004164027081073839,,0,0.030701461850656888,0.047590400387961716,0.027376452688541678
72,72,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.24991714366548862,0.004198247304082379,0.004198247304082379,,0,0.02800590887286321,0.04354388287128319,0.024255987374043022
73,73,1,Condition_Biased,Biased_Random,Random,Random,0.34382260334578474,0.00441071068872572,0.00441071068872572,,0,0.030493097392738693,0.04099538693852506,0.07320264429543857
74,74,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.13304344399573573,0.0037690705811761604,0.0037690705811761604,,0,0.06772303405968058,0.05951039365951031,0.04412716530884306
75,75,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.5515698003927844,0.005415765404376666,0.005415765404376666,2.220446049250313e-16,1,0.26271127594238214,0.1006384259311571,0.0512176747476958
76,76,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.5504842497365077,0.005389284698335682,0.005389284698335682,0.0,1,0.2645365885346783,0.10199238837662118,0.05139628756377432
77,77,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.1487842523935301,0.004699772988472176,0.004699772988472176,0.0,1,0.07311494977868817,0.056613021180349055,0.051739084982761634
78,78,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.5404438139281493,0.005287348278043741,0.005287348278043741,0.007407407407407529,1,0.24041478896806776,0.09454651380933467,0.04889799548588969
79,79,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.1974714221778601,0.0037995982421653316,0.0037995982421653316,,0,0.05619996986395024,0.07608448734713925,0.04578154601018738
80,80,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.08371955738907708,0.003725156833036119,0.003725156833036119,,0,0.03576305523273294,0.05057757011757641,0.04976320110813335
81,81,2,Shared_Core,Shared_Core,Shared_Core,Random,0.23515819948301106,0.0038550389591379274,0.0038550389591379274,,0,0.03053953149787116,0.038596017421691345,0.055824184861827504
82,82,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.33956246420301217,0.004212874969158253,0.004212874969158253,,0,0.07543598925824174,0.04497970823228123,0.02940392103046179
83,83,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.0922917953139787,0.004835422864371485,0.004835422864371485,-0.007407407407407307,1,0.052456493144509966,0.053877658215622425,0.03708952857112443
84,84,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.40869434762800133,0.005222932409852655,0.005222932409852655,-0.007407407407407307,1,0.07172842361722831,0.027700517430073686,0.03251612557926112
85,85,1,Condition_Biased,Biased_Random,Random,Random,0.2111443915595508,0.0036153683311675898,0.0036153683311675898,,0,0.02724367522750981,0.03851000481733569,0.05047641162657075
86,86,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.21781992475726455,0.003888317036396755,0.003888317036396755,,0,0.05268290528544673,0.07283948014968286,0.040883621104337554
87,87,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.19401718782656577,0.004417402705143261,0.004417402705143261,,0,0.055358048252485414,0.05678067393798046,0.02129787885480457
88,88,1,Condition_Biased,Biased_Convergent,Convergent,Random,0.06779759640426752,0.004414965710270685,0.004414965710270685,,0,0.021000708192500665,0.025619672263957678,0.026700816262099476
89,89,1,Condition_Biased,Biased_Random,Random,Random,0.10517048877656936,0.00426463627942923,0.00426463627942923,,0,0.0532034526620043,0.05815372190797928,0.06876654239992301
90,90,1,Condition_Biased,Biased_Random,Random,Random,0.2522021749913302,0.003838351492933862,0.003838351492933862,,0,0.027797448440213448,0.02280736041486894,0.04236937417752213
91,91,2,Shared_Core,Shared_Core,Shared_Core,Random,0.09780459103935742,0.004073874982824173,0.004073874982824173,,0,0.05607889903088411,0.05721445757126997,0.06892850804660056
92,92,1,Condition_Biased,Biased_Random,Random,Random,0.47769472934581075,0.004655106942677444,0.004655106942677444,-0.014814814814814725,0,0.020764469531261258,0.016870831607510805,0.05323848834744206
93,93,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.2588509774740954,0.004126547189490968,0.004126547189490968,,0,0.06245928648341861,0.04597168466046689,0.02757417573593557
94,94,2,Shared_Core,Shared_Core,Shared_Core,Divergent,0.2697226302428111,0.004115873751853928,0.004115873751853928,,0,0.11341045591635285,0.06623591169241876,0.06421949246691333
95,95,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.1354453831618179,0.003678262987562874,0.003678262987562874,,0,0.039998421609332716,0.05117476232246392,0.03793289536541259
