Trial_Index,Class_ID,Class_Name,Gini,Participation_Ratio,Participation_Ratio_Norm
118,3,Random,0.6081459407927547,76.991768741924,0.10828659457373278
119,3,Random,0.664859414742289,87.80849916348501,0.12349999882346696
120,3,Random,0.7350832796091753,18.631720935395037,0.026204952089163205
121,3,Random,0.5529507576132857,27.076722327675768,0.038082591178165634
122,3,Random,0.5936753571097593,37.69166881442945,0.053012192425357874
123,3,Random,0.6719735284378459,27.40055273807268,0.038538048858048776
124,3,Random,0.6183177276411123,79.37230331651708,0.11163474446767521
125,3,Random,0.6843119418049448,53.54326518598842,0.07530698338394995
126,3,Random,0.6932841024998655,34.25627667137427,0.04818041725931684
127,3,Random,0.6314626038813214,78.69342990819925,0.11067992954739697
128,3,Random,0.6953722070909465,57.375854530379584,0.08069740440278422
