level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh,mouse_id
decile,D10,3572,1313.2199987816764,0.2719865986446356,0.0999939083820662,2.7200316803567994,1.4436234547263167,0.0,1.0,0.0,13133,131328,0.0,M73_1128
regime,WeakTail_D1D2,935,2626.6400006091617,0.0711947003731059,0.2000030458089668,0.3559680808098875,-1.4901802124446075,1.0,0.0,0.0,13133,131328,,M73_1128
regime,StrongTail_D9D10,5654,2626.539999086257,0.4305185410797228,0.1999954312865497,2.1526418794073914,1.1061083279724346,0.0,1.0,0.0,13133,131328,,M73_1128
decile,D1,577,2524.150000990472,0.0228596331365635,0.1000019809433252,0.228591803089284,-2.1291544229186736,1.0,0.0,0.0,25241,252405,0.0,M77_1031
decile,D2,815,2524.049999009528,0.0322887365793748,0.0999980190566747,0.3228937621329478,-1.6308685245219083,1.0,0.0,0.0,25241,252405,0.0,M77_1031
decile,D3,1100,2524.150000990472,0.0435798898617329,0.1000019809433252,0.4357902658547876,-1.198294123182141,1.0,2.8635568355215245e-264,5.727113671043049e-264,25241,252405,1.1454227342086098e-263,M77_1031
decile,D4,1439,2524.049999009528,0.0570104195554851,0.0999980190566747,0.5701154892138797,-0.8106738969194253,1.0,7.7806859762629005e-146,1.5561371952525803e-145,25241,252405,2.593561992087634e-145,M77_1031
decile,D5,1952,2524.150000990472,0.0773344954637296,0.1000019809433252,0.7733296354077686,-0.3708445940457257,1.0,2.754454925163769e-39,5.508909850327538e-39,25241,252405,6.886137312909423e-39,M77_1031
decile,D6,2346,2524.049999009528,0.0929440196505685,0.0999980190566747,0.9294586085446572,-0.1055374756409982,0.9999661783392372,3.7181099668760585e-05,7.436219933752117e-05,25241,252405,7.436219933752117e-05,M77_1031
decile,D7,2884,2524.150000990472,0.1142585476011251,0.1000019809433252,1.1425628424774614,0.1922735176261817,2.8733764946075027e-15,0.9999999999999986,5.746752989215005e-15,25241,252405,6.385281099127784e-15,M77_1031
decile,D8,3378,2524.049999009528,0.1338298799572124,0.0999980190566747,1.3383253110246598,0.4204288391271368,7.109920399997848e-74,1.0,1.4219840799995696e-73,25241,252405,2.0314058285708136e-73,M77_1031
decile,D9,4328,2524.150000990472,0.1714670575650727,0.1000019809433252,1.71463660965411,0.7779028522079617,4.922986900859565e-300,1.0,9.84597380171913e-300,25241,252405,2.4614934504297825e-299,M77_1031
decile,D10,6422,2524.049999009528,0.2544273206291351,0.0999980190566747,2.54432360787459,1.347282176046411,0.0,1.0,0.0,25241,252405,0.0,M77_1031
regime,WeakTail_D1D2,1392,5048.2,0.0551483697159383,0.2,0.275741848578313,-1.858609857057113,1.0,0.0,0.0,25241,252405,,M77_1031
regime,StrongTail_D9D10,10750,5048.2,0.4258943781942078,0.2,2.129471890960392,1.0904956864355708,0.0,1.0,0.0,25241,252405,,M77_1031
decile,D1,15,148.8200026885334,0.0100806451612903,0.1000134426670251,0.1007929023576463,-3.3105340441400317,1.0,8.680560988139997e-51,1.7361121976279997e-50,1488,14878,8.680560988139998e-50,M77_1107
decile,D2,40,148.8200026885334,0.0268817204301075,0.1000134426670251,0.2687810729537236,-1.895496544950635,1.0,3.4175865492483046e-30,6.835173098496609e-30,1488,14878,2.2783910328322028e-29,M77_1107
decile,D3,54,148.8200026885334,0.0362903225806451,0.1000134426670251,0.362854448487527,-1.4625371376884424,1.0,3.136173023371418e-22,6.272346046742836e-22,1488,14878,1.568086511685709e-21,M77_1107
decile,D4,86,148.8200026885334,0.0577956989247311,0.1000134426670251,0.5778793068505059,-0.7911598851646056,0.9999999996391932,6.983857408651796e-10,1.3967714817303592e-09,1488,14878,1.99538783104337e-09,M77_1107
decile,D5,95,148.71998924586637,0.0638440860215053,0.0999462293318994,0.6387843388153686,-0.6465991524825172,0.9999999082826998,1.587666631228989e-07,3.175333262457978e-07,1488,14878,3.969166578072473e-07,M77_1107
decile,D6,124,148.8200026885334,0.0833333333333333,0.1000134426670251,0.8332213261565433,-0.2632283294874777,0.9906649486670536,0.0120203857408546,0.0240407714817092,1488,14878,0.0267119683130102,M77_1107
decile,D7,146,148.8200026885334,0.0981182795698924,0.1000134426670251,0.9810509162810914,-0.0276000809969444,0.6154343150354047,0.4199640848880784,0.8399281697761568,1488,14878,0.8399281697761568,M77_1107
decile,D8,227,148.8200026885334,0.1525537634408602,0.1000134426670251,1.525332589012382,0.6091238474087066,1.1424391676555052e-11,0.9999999999934828,2.2848783353110103e-11,1488,14878,3.8081305588516837e-11,M77_1107
decile,D9,244,148.8200026885334,0.1639784946236559,0.1000134426670251,1.6395645450177143,0.7133126976800191,3.7030554826729484e-16,1.0,7.4061109653459e-16,1488,14878,1.4812221930691797e-15,M77_1107
decile,D10,457,148.71998924586637,0.3071236559139785,0.0999462293318994,3.07288887198551,1.6195955942267048,2.3960956623861398e-126,1.0,4.7921913247722796e-126,1488,14878,4.792191324772279e-125,M77_1107
regime,WeakTail_D1D2,55,297.6400053770668,0.0369623655913978,0.2000268853340502,0.1847869876566088,-2.436064926320762,1.0,7.123654491246348e-83,1.4247308982492696e-82,1488,14878,,M77_1107
regime,StrongTail_D9D10,701,297.5399919343998,0.4711021505376344,0.1999596719989246,2.355985813668529,1.2363308521545937,7.297633754638317e-139,1.0,1.4595267509276635e-138,1488,14878,,M77_1107
decile,D1,583,2631.8500009499385,0.0221521392203054,0.100001899876508,0.2215171836479064,-2.1745094781997167,1.0,0.0,0.0,26318,263175,0.0,M78_1017
decile,D2,964,2631.749999050062,0.0366289231704536,0.0999981001234919,0.366296190876154,-1.4489173963476567,1.0,0.0,0.0,26318,263175,0.0,M78_1017
decile,D3,1275,2631.8500009499385,0.0484459305418344,0.100001899876508,0.4844501014598296,-1.04558001968934,1.0,2.1956941191312315e-225,4.391388238262463e-225,26318,263175,1.0978470595656158e-224,M78_1017
decile,D4,1629,2631.749999050062,0.0618968006687438,0.0999981001234919,0.6189797665324223,-0.6920358440681792,1.0,1.12000388294898e-117,2.24000776589796e-117,26318,263175,3.7333462764966e-117,M78_1017
decile,D5,2035,2631.8500009499385,0.0773235048255946,0.100001899876508,0.7732203580162771,-0.3710484722930722,1.0,6.42996823076834e-41,1.285993646153668e-40,26318,263175,1.8371337802195256e-40,M78_1017
decile,D6,2385,2631.749999050062,0.0906223877194315,0.0999981001234919,0.9062410946469164,-0.1420331817082111,0.9999999705284588,3.336719487834835e-08,6.67343897566967e-08,26318,263175,7.414932195188523e-08,M78_1017
decile,D7,2781,2631.8500009499385,0.1056691237936013,0.100001899876508,1.0566711624782636,0.0795264778950003,0.0006908378249607,0.9993585969056268,0.0013816756499215,26318,263175,0.0013816756499215,M78_1017
decile,D8,3218,2631.749999050062,0.1222737290067634,0.0999981001234919,1.2227605209952943,0.2901418781182404,2.4327747379757277e-35,1.0,4.865549475951455e-35,26318,263175,6.08193684493932e-35,M78_1017
decile,D9,4064,2631.8500009499385,0.1544190288015806,0.100001899876508,1.5441609508492138,0.6268231353161691,7.705649688548229e-188,1.0,1.5411299377096458e-187,26318,263175,3.082259875419292e-187,M78_1017
decile,D10,7384,2631.749999050062,0.2805684322516908,0.0999981001234919,2.8057376280389232,1.4883801050339114,0.0,1.0,0.0,26318,263175,0.0,M78_1017
regime,WeakTail_D1D2,1547,5263.6,0.0587810623907591,0.2,0.2939053119523263,-1.7665766608207525,1.0,0.0,0.0,26318,263175,,M78_1017
