ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base,mouse_id
random,0.03,1993,2,0.4727272727272726,0.0314918328648886,0.4363636363636363,0.0833195580901061,0.0363636363636363,M79_1128
random,0.03,1993,3,0.4727272727272726,0.0314918328648886,0.5272727272727272,0.0181818181818181,-0.0545454545454545,M79_1128
random,0.03,1993,4,0.4727272727272726,0.0314918328648886,0.5454545454545454,0.0314918328648886,-0.0727272727272727,M79_1128
random,0.03,1993,5,0.4727272727272726,0.0314918328648886,0.5393939393939394,0.0756969454351321,-0.0666666666666667,M79_1128
random,0.03,1993,6,0.4727272727272726,0.0314918328648886,0.5333333333333333,0.0277731860300354,-0.0606060606060606,M79_1128
random,0.03,1993,7,0.4727272727272726,0.0314918328648886,0.503030303030303,0.0584463682484421,-0.0303030303030303,M79_1128
top,0.05,3322,-1,0.4727272727272726,0.0314918328648886,0.4848484848484848,0.0104972776216295,-0.0121212121212122,M79_1128
random,0.05,3322,0,0.4727272727272726,0.0314918328648886,0.4666666666666666,0.0915131446699484,0.006060606060606,M79_1128
random,0.05,3322,1,0.4727272727272726,0.0314918328648886,0.5212121212121211,0.0419891104865182,-0.0484848484848484,M79_1128
random,0.05,3322,2,0.4727272727272726,0.0314918328648886,0.4545454545454546,0.0833195580901061,0.018181818181818,M79_1128
random,0.05,3322,3,0.4727272727272726,0.0314918328648886,0.5696969696969697,0.0104972776216295,-0.096969696969697,M79_1128
random,0.05,3322,4,0.4727272727272726,0.0314918328648886,0.5393939393939394,0.037848472717566,-0.0666666666666667,M79_1128
random,0.05,3322,5,0.4727272727272726,0.0314918328648886,0.5272727272727272,0.0655554777357088,-0.0545454545454545,M79_1128
random,0.05,3322,6,0.4727272727272726,0.0314918328648886,0.5212121212121211,0.0209945552432591,-0.0484848484848484,M79_1128
random,0.05,3322,7,0.4727272727272726,0.0314918328648886,0.4909090909090909,0.0481045692920834,-0.0181818181818182,M79_1128
top,0.01,275,-1,0.8296296296296296,0.0462592444325807,0.837037037037037,0.033945005147821,-0.0074074074074074,M91_1017
random,0.01,275,0,0.8296296296296296,0.0462592444325807,0.7777777777777778,0.0666666666666666,0.0518518518518518,M91_1017
random,0.01,275,1,0.8296296296296296,0.0462592444325807,0.8000000000000002,0.0222222222222222,0.0296296296296294,M91_1017
random,0.01,275,2,0.8296296296296296,0.0462592444325807,0.7407407407407408,0.0559246995205241,0.0888888888888888,M91_1017
random,0.01,275,3,0.8296296296296296,0.0462592444325807,0.7999999999999999,0.038490017945975,0.0296296296296296,M91_1017
random,0.01,275,4,0.8296296296296296,0.0462592444325807,0.7407407407407408,0.0462592444325807,0.0888888888888888,M91_1017
random,0.01,275,5,0.8296296296296296,0.0462592444325807,0.7777777777777777,0.0801233616769775,0.0518518518518519,M91_1017
random,0.01,275,6,0.8296296296296296,0.0462592444325807,0.7925925925925926,0.0714344500814292,0.0370370370370369,M91_1017
random,0.01,275,7,0.8296296296296296,0.0462592444325807,0.8074074074074074,0.0714344500814292,0.0222222222222222,M91_1017
top,0.03,825,-1,0.8296296296296296,0.0462592444325807,0.8148148148148149,0.0128300059819916,0.0148148148148147,M91_1017
random,0.03,825,0,0.8296296296296296,0.0462592444325807,0.7851851851851852,0.033945005147821,0.0444444444444444,M91_1017
random,0.03,825,1,0.8296296296296296,0.0462592444325807,0.8074074074074075,0.033945005147821,0.0222222222222221,M91_1017
random,0.03,825,2,0.8296296296296296,0.0462592444325807,0.7555555555555555,0.038490017945975,0.074074074074074,M91_1017
random,0.03,825,3,0.8296296296296296,0.0462592444325807,0.8074074074074075,0.0462592444325807,0.0222222222222221,M91_1017
random,0.03,825,4,0.8296296296296296,0.0462592444325807,0.7407407407407408,0.033945005147821,0.0888888888888888,M91_1017
random,0.03,825,5,0.8296296296296296,0.0462592444325807,0.7777777777777778,0.0666666666666666,0.0518518518518518,M91_1017
random,0.03,825,6,0.8296296296296296,0.0462592444325807,0.7703703703703703,0.033945005147821,0.0592592592592593,M91_1017
random,0.03,825,7,0.8296296296296296,0.0462592444325807,0.8148148148148148,0.078041879650761,0.0148148148148148,M91_1017
top,0.05,1375,-1,0.8296296296296296,0.0462592444325807,0.7925925925925926,0.033945005147821,0.0370370370370369,M91_1017
random,0.05,1375,0,0.8296296296296296,0.0462592444325807,0.7777777777777778,0.0666666666666666,0.0518518518518518,M91_1017
random,0.05,1375,1,0.8296296296296296,0.0462592444325807,0.8074074074074075,0.033945005147821,0.0222222222222221,M91_1017
random,0.05,1375,2,0.8296296296296296,0.0462592444325807,0.7481481481481481,0.055924699520524,0.0814814814814814,M91_1017
random,0.05,1375,3,0.8296296296296296,0.0462592444325807,0.7999999999999999,0.0587944735792131,0.0296296296296296,M91_1017
random,0.05,1375,4,0.8296296296296296,0.0462592444325807,0.7481481481481481,0.033945005147821,0.0814814814814814,M91_1017
random,0.05,1375,5,0.8296296296296296,0.0462592444325807,0.7703703703703703,0.078041879650761,0.0592592592592593,M91_1017
random,0.05,1375,6,0.8296296296296296,0.0462592444325807,0.7925925925925926,0.033945005147821,0.0370370370370369,M91_1017
random,0.05,1375,7,0.8296296296296296,0.0462592444325807,0.7851851851851852,0.055924699520524,0.0444444444444444,M91_1017
