mouse_id,Condition,Decile_Index,Mean_Correlation
M79_1128,Convergent,1,0.11297030090775195
M79_1128,Convergent,2,0.1573306350775792
M79_1128,Convergent,3,0.18285707511028435
M79_1128,Convergent,4,0.20444575320965117
M79_1128,Convergent,5,0.22451682007797807
M79_1128,Convergent,6,0.24482224494074262
M79_1128,Convergent,7,0.2666046371234895
M79_1128,Convergent,8,0.2907718885435076
M79_1128,Convergent,9,0.323517802839891
M79_1128,Convergent,10,0.4128069914889452
M79_1128,Random,1,0.09743022712143405
M79_1128,Random,2,0.14512399652650174
M79_1128,Random,3,0.17120380634050586
M79_1128,Random,4,0.19237059870521864
M79_1128,Random,5,0.2119573480002565
M79_1128,Random,6,0.23170658917620574
M79_1128,Random,7,0.25263571571519167
M79_1128,Random,8,0.2773684592377905
M79_1128,Random,9,0.3106670447382115
M79_1128,Random,10,0.4040420911219902
M91_1017,Divergent,1,0.1174854157643702
M91_1017,Divergent,2,0.16665164238418304
M91_1017,Divergent,3,0.19513253395843483
M91_1017,Divergent,4,0.21868610578137243
M91_1017,Divergent,5,0.24204022532778907
M91_1017,Divergent,6,0.2641884540810629
M91_1017,Divergent,7,0.2885597957185614
M91_1017,Divergent,8,0.31699609893596076
M91_1017,Divergent,9,0.35335836118069014
M91_1017,Divergent,10,0.45223244698672593
M91_1017,Convergent,1,0.11056543477781276
M91_1017,Convergent,2,0.1632804170975285
M91_1017,Convergent,3,0.1948107735618288
M91_1017,Convergent,4,0.21968788345264198
M91_1017,Convergent,5,0.24329130974735994
M91_1017,Convergent,6,0.2669847504392124
M91_1017,Convergent,7,0.2910525453847491
M91_1017,Convergent,8,0.3177396500151299
M91_1017,Convergent,9,0.3529203568394709
M91_1017,Convergent,10,0.4497951738195595
M91_1017,Random,1,0.09461611921516437
M91_1017,Random,2,0.14774303593987972
M91_1017,Random,3,0.18098315138218524
M91_1017,Random,4,0.20909069065981722
M91_1017,Random,5,0.2349593870628306
M91_1017,Random,6,0.26017309865815946
M91_1017,Random,7,0.2865682452222242
M91_1017,Random,8,0.3158149356183487
M91_1017,Random,9,0.35457321074654025
M91_1017,Random,10,0.4562937069068519
