level_type,overlap_category,n_neurons,n_important_neurons,important_fraction,mean_selectivity_index,sem_selectivity_index,mean_decoder_importance,sem_decoder_importance,mean_ablation_effect_proxy,sem_ablation_effect_proxy,n_actual_ablation_eval,mean_ablation_drop_actual,sem_ablation_drop_actual,mouse_id
detail,Biased_Random,89,19,0.2134831460674133,0.3994110664171061,0.0208852889199865,0.0019430046529294,2.236038808479848e-05,0.0019430046529294,2.236038808479848e-05,5,0.0019047619047618,0.0019047619047618,M73_1128
detail,Shared_Core,153,36,0.2352941176470573,0.2646540748149931,0.0101946099073503,0.0019818145455734,1.6795296921756392e-05,0.0019818145455734,1.6795296921756392e-05,30,0.0009523809523809,0.0010561922184155,M73_1128
coarse,Condition_Biased,442,77,0.1742081447963797,0.3198252040496111,0.0082576118321363,0.001392242789113,8.450605349877696e-06,0.001392242789113,8.450605349877696e-06,30,0.0051679586563306,0.0006785862163293,M77_1031
coarse,Shared_Core,269,66,0.2453531598513001,0.2132491454009625,0.0077176585304216,0.0014298464208606,1.0921810902271628e-05,0.0014298464208606,1.0921810902271628e-05,30,0.0046511627906976,0.0007052074823989,M77_1031
detail,Biased_Convergent,140,33,0.235714285714284,0.3616463171999223,0.0136606238715102,0.0014386135723749,1.6060735307410045e-05,0.0014386135723749,1.6060735307410045e-05,11,0.0049330514446792,0.0011792248435998,M77_1031
detail,Biased_Divergent,170,15,0.0882352941176465,0.3494958020266888,0.0138547671744637,0.0013472837201585,1.1816707125305047e-05,0.0013472837201585,1.1816707125305047e-05,8,0.006782945736434,0.000968992248062,M77_1031
detail,Biased_Random,132,29,0.219696969696968,0.2372573442227414,0.0128394490868143,0.0014009634865797,1.564752547818231e-05,0.0014009634865797,1.564752547818231e-05,11,0.0042283298097251,0.0012206136769336,M77_1031
detail,Shared_Core,269,66,0.2453531598513001,0.2132491454009625,0.0077176585304216,0.0014298464208606,1.0921810902271628e-05,0.0014298464208606,1.0921810902271628e-05,30,0.0046511627906976,0.0007052074823989,M77_1031
coarse,Condition_Biased,94,18,0.1914893617021256,0.2987906683461769,0.0174876142216151,0.0057241520081741,5.0525410078515526e-05,0.0057241520081741,5.0525410078515526e-05,30,0.0137373737373737,0.001836281289118,M77_1107
coarse,Shared_Core,79,17,0.2151898734177188,0.2029544012397633,0.0103110031515644,0.0058472115345712,4.473429573377018e-05,0.0058472115345712,4.473429573377018e-05,30,0.0137373737373737,0.0015357934437342,M77_1107
detail,Biased_Convergent,43,9,0.2093023255813904,0.3567761389789033,0.0266713470085501,0.0058054467614237,6.57061067114753e-05,0.0058054467614237,6.57061067114753e-05,17,0.0124777183600713,0.0020440900073404,M77_1107
detail,Biased_Divergent,17,4,0.235294117647045,0.1799922048944771,0.0246376808223849,0.0056576795081723,0.0001290573987814,0.0056576795081723,0.0001290573987814,4,0.0242424242424242,0.0042854956435548,M77_1107
