rank,edge_idx,neuron_i_local,neuron_j_local,neuron_i_global,neuron_j_global,layer_i,layer_j,layer_pair,strength_decile,corr_mean,edge_importance,edge_importance_raw
102,7138,48,59,48,59,DepthHigh,DepthMid,DepthHigh--DepthMid,9,0.18289088986371618,0.00017585180590556646,0.012082032890895078
103,12649,105,155,105,155,DepthLow,DepthLow,DepthLow--DepthLow,6,0.12674623006837074,0.00017474415037513837,0.012005930570071596
104,7003,47,48,47,48,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8467899594404862,0.00017439287116173264,0.011981795662907009
105,14864,167,169,167,169,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7978582083669964,0.00017420044054261536,0.011968574569967885
106,5272,33,158,33,158,DepthHigh,DepthLow,DepthHigh--DepthLow,8,0.1586570466592386,0.0001735298736172418,0.01192250275622569
107,1254,7,79,7,79,DepthMid,DepthHigh,DepthHigh--DepthMid,6,0.13070497406475892,0.0001735194377676191,0.011921785753191593
108,4147,26,27,26,27,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6890465599231218,0.00017349490503872956,0.011920100213280186
109,4374,27,109,27,109,DepthHigh,DepthLow,DepthHigh--DepthLow,5,0.11151383224172691,0.00017311067213147556,0.011893701197362772
110,8467,59,90,59,90,DepthMid,DepthLow,DepthLow--DepthMid,4,0.0992486983434558,0.0001728818832703385,0.011877982083583451
111,3854,24,27,24,27,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.548532895205771,0.00017263650177623332,0.011861122960258964
112,9429,68,80,68,80,DepthLow,DepthLow,DepthLow--DepthLow,10,0.4193672251703155,0.00017210013815170582,0.011824271686997085
113,12873,109,121,109,121,DepthLow,DepthMid,DepthLow--DepthMid,7,0.1485283790756536,0.00017205263611034987,0.011821008022895988
114,11800,94,98,94,98,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8595723138061372,0.00017106960671041483,0.01175346823573503
115,13573,121,143,121,143,DepthMid,DepthLow,DepthLow--DepthMid,3,0.07263318484398289,0.00017090109272527832,0.011741890353435156
116,3425,21,45,21,45,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.38001907944486557,0.00017015827898185317,0.011690854766773673
117,9828,72,73,72,73,DepthMid,DepthMid,DepthMid--DepthMid,10,0.6458002842032414,0.00017014061864717615,0.011689641399965565
118,11433,89,131,89,131,DepthLow,DepthLow,DepthLow--DepthLow,10,0.6020407730618215,0.00016952250676877313,0.01164717355036538
119,9100,65,66,65,66,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5501189062567383,0.00016791177252649498,0.011536506821675962
120,2795,17,25,17,25,DepthHigh,DepthHigh,DepthHigh--DepthHigh,9,0.2211778324176986,0.00016705695936050408,0.011477776228982372
121,8883,63,64,63,64,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.798755371776398,0.00016653709164470712,0.011442058319752901
122,2508,15,49,15,49,DepthMid,DepthHigh,DepthHigh--DepthMid,7,0.13811979577281433,0.00016650167577075326,0.011439625045031798
123,9314,67,69,67,69,DepthLow,DepthLow,DepthLow--DepthLow,10,0.6837819334513828,0.00016640300033518481,0.011432845473722184
124,5329,34,77,34,77,DepthMid,DepthLow,DepthLow--DepthMid,10,0.23179708266687582,0.0001662103156697877,0.011419606926339
125,3250,20,21,20,21,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4909088650720899,0.00016594030090439724,0.01140105535526087
126,683,4,6,4,6,DepthLow,DepthLow,DepthLow--DepthLow,10,0.769799168956325,0.00016574022342692168,0.011387308879066676
127,5287,34,35,34,35,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8696611330844571,0.0001653548960986505,0.011360834670115798
128,4870,31,35,31,35,DepthMid,DepthMid,DepthMid--DepthMid,10,0.7018286722074216,0.00016492898477837487,0.01133157210693838
129,8993,64,66,64,66,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.47892672022626404,0.00016479306208737766,0.01132223343444201
130,7774,53,90,53,90,DepthHigh,DepthLow,DepthHigh--DepthLow,5,0.11690100622758573,0.00016458346146951242,0.011307832663599998
131,7995,55,76,55,76,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.49886364978634756,0.000163218544364297,0.01121405498941783
132,4725,30,31,30,31,DepthMid,DepthMid,DepthMid--DepthMid,10,0.891822351898712,0.00016298328359901234,0.01119789121851159
133,12862,109,110,109,110,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8140513633017671,0.00016259771448158411,0.011171400397251655
134,10027,74,75,74,75,DepthMid,DepthMid,DepthMid--DepthMid,10,0.4358842006928614,0.00016081876400873946,0.011049176243717942
135,5270,33,156,33,156,DepthHigh,DepthLow,DepthHigh--DepthLow,7,0.14633517319287015,0.00016054495655929934,0.011030364093379924
136,11638,92,93,92,93,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7778653926410748,0.000160527789644372,0.011029184627353292
137,11515,90,131,90,131,DepthLow,DepthLow,DepthLow--DepthLow,10,0.5723452320817396,0.000159432463680419,0.010953929418829372
138,8579,60,90,60,90,DepthMid,DepthLow,DepthLow--DepthMid,4,0.08797197763594258,0.00015895139462493942,0.010920877201246702
139,11875,95,96,95,96,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9208136156752053,0.0001571350612739078,0.010796084628460852
140,14527,146,147,146,147,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5146300031537092,0.00015698490042967143,0.0107857677127508
141,14099,133,135,133,135,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7312270221389683,0.00015620839095089621,0.01073241703480728
142,5271,33,157,33,157,DepthHigh,DepthLow,DepthHigh--DepthLow,7,0.1467895747866481,0.00015566080892347455,0.010694794992589959
143,9522,69,70,69,70,DepthLow,DepthLow,DepthLow--DepthLow,10,0.9005574707712116,0.0001550965645284901,0.01065602814965878
144,14533,146,153,146,153,DepthMid,DepthLow,DepthLow--DepthMid,3,0.08007946842969667,0.00015498079644236612,0.010648074214713027
145,7500,51,55,51,55,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5455124160126585,0.00015489797524109475,0.010642383920702846
146,2580,15,121,15,121,DepthMid,DepthMid,DepthMid--DepthMid,7,0.1388565736072283,0.0001548181668101819,0.010636900621385592
147,4317,27,52,27,52,DepthHigh,DepthHigh,DepthHigh--DepthHigh,9,0.21738100806948668,0.00015471860299492936,0.01063006001326997
148,6105,40,46,40,46,DepthMid,DepthMid,DepthMid--DepthMid,10,0.7611520085000429,0.00015458721675984564,0.010621033021448546
149,7760,53,76,53,76,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4904531927235768,0.0001543312095936381,0.010603443853191239
150,3852,24,25,24,25,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4612561625024649,0.00015411554379790994,0.01058862636966293
151,8885,63,66,63,66,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5153812997583234,0.00015257863680234317,0.010483031998453254
152,8036,55,117,55,117,DepthHigh,DepthMid,DepthHigh--DepthMid,7,0.13903158410946795,0.00015211267368668197,0.010451017646025245
153,4538,28,129,28,129,DepthMid,DepthMid,DepthMid--DepthMid,5,0.1154552156536947,0.0001513120642705591,0.01039601116344439
154,6374,42,54,42,54,DepthMid,DepthMid,DepthMid--DepthMid,10,0.40022920020167896,0.00015119255632294962,0.010387800278453442
155,14137,134,135,134,135,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7819429260671404,0.0001511641658757437,0.010385849691053085
156,4062,25,88,25,88,DepthHigh,DepthLow,DepthHigh--DepthLow,5,0.1114899008895036,0.00015086461205791947,0.010365268616773478
157,1196,7,21,7,21,DepthMid,DepthHigh,DepthHigh--DepthMid,7,0.1508959363087312,0.00015010556435606623,0.010313117663575568
158,1675,10,11,10,11,DepthMid,DepthMid,DepthMid--DepthMid,10,0.45662535235496937,0.00014974011898752295,0.010288009459881963
159,11954,96,99,96,99,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8315457789994701,0.00014973391948130532,0.010287583518063265
160,11350,88,131,88,131,DepthLow,DepthLow,DepthLow--DepthLow,10,0.574113988485997,0.00014961817394693963,0.010279631132553325
161,8040,55,121,55,121,DepthHigh,DepthMid,DepthHigh--DepthMid,7,0.15536996037585188,0.00014921565188270972,0.010251975546110565
162,4728,30,34,30,34,DepthMid,DepthMid,DepthMid--DepthMid,10,0.6671349851056828,0.00014870685326374763,0.010217018147649483
163,11723,93,99,93,99,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6494543920478185,0.00014764572741481327,0.010144112684198691
164,6819,45,115,45,115,DepthHigh,DepthMid,DepthHigh--DepthMid,5,0.11731900608691469,0.00014752359375380127,0.010135721397559161
165,7521,51,76,51,76,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7789518991626833,0.000147381540970952,0.0101259615524112
166,2774,16,159,16,159,DepthMid,DepthHigh,DepthHigh--DepthMid,6,0.1297666206464175,0.00014727334654989234,0.010118527971919245
167,14501,145,147,145,147,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8248692012473962,0.00014646463668903148,0.010062964942084003
168,11193,86,143,86,143,DepthLow,DepthLow,DepthLow--DepthLow,10,0.24814474373521933,0.00014642845500759027,0.010060479051973468
169,4542,28,133,28,133,DepthMid,DepthHigh,DepthHigh--DepthMid,10,0.2911763405570493,0.00014441698983670465,0.00992227979818485
